"S.No.","Zone & Circle","Ward Name","Vehicle Number","Vehicle Type","Route Name","Total","Covered","Not Covered","Coverage","Date","Route In Time","Route Out Time"
"1","1","23-Aheer Pada","M072   UP85AG0803","Primary - Auto Tipper","W23R1","435","435","0","100","18-02-2026","07:28 AM"
"2","1","53-Krishna Puri","MR044-70147541","Primary - Manual Rickshaw","W53MR1","150","150","0","100","18-02-2026","08:31 AM"
"3","1","65-Holi Gali","M232 UP85ET 7839_C","Primary - Auto Tipper","W65R5","127","127","0","100","18-02-2026","09:03 AM"
"4","2","56-Mandi Randas","M268 UP85ET 7848","Primary - Auto Tipper","W56R4","32","32","0","100","18-02-2026","08:20 AM"
"5","1","18-General ganj","M174 UP85AG0771","Primary - Auto Tipper","W18R3","553","551","2","99","18-02-2026","07:46 AM"
"6","4","09-Gandhi Nagar","M278 UP85ET 7840","Primary - Auto Tipper","W9R1","1000","985","15","98","18-02-2026","07:29 AM"
"7","1","61-Chaubia Para","M252 UP85ET 7850_C","Primary - Auto Tipper","W61R1_C","363","357","6","98","18-02-2026","07:16 AM"
"8","2","37-Baldevpuri","M077  UP85AG0761_C","Primary - Auto Tipper","W37R1","469","459","10","97","18-02-2026","07:35 AM"
"9","1","14-Lakshmi Nagar Yamunapar","M124 DL51EV0233","Primary - AUTO TIPPER 3 WHEELER","W14R2","234","229","5","97","18-02-2026","07:45 AM"
"10","1","65-Holi Gali","M054 UP14PT7728","Primary - Auto Tipper","W65R3","326","319","7","97","18-02-2026","07:03 AM"
"11","3","27-Baad","M179 UP85AG0720_C","Primary - Auto Tipper","W27R1","895","874","21","97","18-02-2026","06:58 AM"
"12","2","48-Satoha Asangpur","M257 UP85ET 7845","Primary - Auto Tipper","W48R2","202","197","5","97","18-02-2026","07:18 AM"
"13","1","35-Bankhandi","M132    UP85AG0770","Primary - Auto Tipper","W35R1","289","280","9","96","18-02-2026","07:42 AM"
"14","4","66-Keshighat","M264 UP85ET 7867","Primary - Auto Tipper","W66R1","645","624","21","96","18-02-2026","06:51 AM"
"15","2","20-Krishna Nagar First","UP16RT3830","Primary - AUTO TIPPER 4 WHEELER","W20R2","1000","965","35","96","18-02-2026","07:24 AM"
"16","2","24-Sarai Azamabad","MR034-70143664","Primary - Manual Rickshaw","W24MR1","119","114","5","95","18-02-2026","07:31 AM"
"17","4","25-Chharaura","M219 UP85AG0962","Primary - Auto Tipper","W25R1","766","732","34","95","18-02-2026","07:49 AM"
"18","2","12-Radhe Shyam Colony","MR013-70147533","Primary - Manual Rickshaw","W12MR1","156","149","7","95","18-02-2026","07:31 AM"
"19","4","34-Radhaniwas","M265 UP14PT8095","Primary - Auto Tipper","W34R2","1000","954","46","95","18-02-2026","07:00 AM"
"20","2","56-Mandi Randas","MR035-70148598","Primary - Wheel Barrow","W56WBR1","189","180","9","95","18-02-2026","07:24 AM"
"21","1","22-Badhri Nagar","DL5TGD9454","Primary - AUTO TIPPER 3 WHEELER","W22R2","746","708","38","94","18-02-2026","07:55 AM"
"22","4","62-Mathura Darwaza","UP85FT2585","Primary - Auto Tipper","W62R1","1000","948","52","94","18-02-2026","07:28 AM"
"23","1","05-Bharatpur Gate","M080  UP85AG0795_C","Primary - Auto Tipper","W5R1","358","336","22","93","18-02-2026","07:29 AM"
"24","2","47-Dwarkapuri","UP16RT3808","Primary - AUTO TIPPER 4 WHEELER","W47R2","1000","936","64","93","18-02-2026","07:02 AM"
"25","2","44-Radhika Bihar","M012 UP14PT7946","Primary - Auto Tipper","W44R1","494","462","32","93","18-02-2026","07:13 AM"
"26","2","36-Jaisingh Pura","M238 UP85ET 7831","Primary - Auto Tipper","W36R1","613","571","42","93","18-02-2026","07:41 AM"
"27","1","49-Daimpiriyal Nagar","M038 UP14PT7753","Primary - Auto Tipper","W49R2","399","371","28","92","18-02-2026","07:32 AM"
"28","1","63-Maliyaan Sadar","M191 UP85AG0948","Primary - Auto Tipper","W63R1","558","517","41","92","18-02-2026","07:42 AM"
"29","1","26-Naya Nagla","UP16RT3806","Primary - AUTO TIPPER 4 WHEELER","W26R2","441","406","35","92","18-02-2026","07:55 AM"
"30","1","18-General ganj","M050 UP85AG0772_C","Primary - Auto Tipper","W18R2","224","206","18","91","18-02-2026","07:45 AM"
