"S.No.","Ward Name","Area","Residential Customer","Commercial Customer","Industrial Customer","Institutional Customer","Customer Count"
1,"1","01-Birjapur",3384,163,1,1,3549
2,"2","02-Ambedkar Nagar",1967,363,1,3,2334
3,"3","03-Girdharpur",2418,11,0,1,2430
4,"4","04-Ishapur Yamunapar",1662,69,0,0,1731
5,"5","05-Bharatpur Gate",238,318,0,0,556
6,"6","06-Aduki",2934,176,0,0,3110
7,"7","07-Lohvan",3367,783,1,0,4151
8,"8","08-Atas",966,8,0,1,975
9,"9","09-Gandhi Nagar",844,241,0,0,1085
10,"10","10-Aurangabad First",859,69,0,0,928
11,"11","11-Tarsi",228,159,0,1,388
12,"12","12-Radhe Shyam Colony",2228,155,6,0,2389
13,"13","13-Sunrakh",1835,262,0,0,2097
14,"14","14-Lakshmi Nagar Yamunapar",923,364,0,0,1287
15,"15","15-Maholi First",3327,928,1,2,4258
16,"16","16-Bakalpur",3581,471,2,2,4056
17,"17","17-Bairaagpura",1314,477,0,2,1793
18,"18","18-General ganj",1497,474,0,0,1971
19,"19","19-Ramnagar Yamunapar",1612,507,0,1,2120
20,"20","20-Krishna Nagar First",1574,278,0,0,1852
21,"21","21-Chaitanya Bihar",2478,638,0,1,3117
22,"22","22-Badhri Nagar",1446,329,0,0,1775
23,"23","23-Aheer Pada",816,22,0,0,838
24,"24","24-Sarai Azamabad",2560,248,5,1,2814
25,"25","25-Chharaura",1271,128,0,0,1399
26,"26","26-Naya Nagla",1167,334,0,0,1501
27,"27","27-Baad",4164,76,1,1,4242
28,"28","28-Aurangabad Second",1409,101,1,0,1511
29,"29","29-Koyla Alipur",177,1,0,0,178
30,"30","30-Krishna Nagar Second",876,605,0,0,1481
31,"31","31-Navneet Nagar",1086,146,0,2,1234
32,"32","32-Ranchibagar",2239,312,0,1,2552
33,"33","33-Palikhera",3348,341,0,1,3690
34,"34","34-Radhaniwas",4677,151,0,0,4828
35,"35","35-Bankhandi",993,392,0,0,1385
36,"36","36-Jaisingh Pura",1484,80,0,0,1564
37,"37","37-Baldevpuri",1162,82,0,0,1244
38,"38","38-Civil Lines",1253,67,0,2,1322
39,"39","39-Mahavidhya Colony",2287,332,0,0,2619
40,"40","40-Rajkumar",331,96,0,0,427
41,"41","41-Dhaulipiau",2021,142,1,3,2167
42,"42","42-Manoharpur",1183,248,0,0,1431
43,"43","43-Ganeshra",4541,182,1,0,4724
44,"44","44-Radhika Bihar",1029,68,0,1,1098
45,"45","45-Birla Mandir",1540,98,0,0,1638
46,"46","46-Radha Nagar",344,110,0,1,455
47,"47","47-Dwarkapuri",2008,371,0,3,2382
48,"48","48-Satoha Asangpur",886,7,0,0,893
49,"49","49-Daimpiriyal Nagar",1412,596,0,1,2009
50,"50","50-Patharpura",644,249,0,0,893
51,"51","51-Gaushala Nagar",3681,372,0,8,4061
52,"52","52-Chandrapuri",1917,281,3,3,2204
53,"53","53-Krishna Puri",698,162,0,0,860
54,"54","54-Pratap Nagar",2835,96,0,1,2932
55,"55","55-Govind Nagar",1619,157,0,2,1778
56,"56","56-Mandi Randas",380,330,0,0,710
57,"57","57-Balajipuram",4200,115,0,0,4315
58,"58","58-Gau Ghat",700,200,0,5,905
59,"59","59-Maholi Second",1054,218,0,3,1275
60,"60","60-Jagannath Puri",1396,508,0,14,1918
61,"61","61-Chaubia Para",558,565,0,0,1123
62,"62","62-Mathura Darwaza",1011,453,0,0,1464
63,"63","63-Maliyaan Sadar",1179,53,0,1,1233
64,"64","64-Ghati Bahalray",124,244,0,0,368
65,"65","65-Holi Gali",266,785,0,0,1051
66,"66","66-Keshighat",776,299,0,1,1076
67,"67","67-Kemar Van",750,464,0,0,1214
68,"68","68-Shanti Nagar",710,110,6,8,834
69,"69","69-Ratan Chhatri",1516,362,0,0,1878
70,"70","70-Biharipur",500,480,0,0,980
